,name,address,location,rating,total_ratings,types,ref,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,latitude,longitude,postal_code,city_name,smileys,cvr_number,checked_findsmiley
1194,Café Altanen,"Gammel Kongevej 19, København V","(12.5565769, 55.6737571)",4.5,120,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJg24iGAtTUkYRMlo4AZ1ESiM,OPERATIONAL,"Gl. Kongevej 19, 1610 København, Denmark",51 17 86 02,1.0,http://cafealtanen.dk/,"('1000', '1700'); ('0800', '1800'); ('0800', '1800'); ('0800', '1800'); ('0800', '1800'); ('0800', '1800'); ('1000', '1700')",55.6737571,12.5565769,1500-1799,København V,"[1, 1, 1, 2]",15200081,1
1195,KöD Vesterbro,"Vesterbrogade 33, København V","(12.558267, 55.672682)",4.4,844,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJQ9XhTwtTUkYRPEXVJqDjvvE,OPERATIONAL,"Vesterbrogade 33, 1620 København, Denmark",88 77 20 80,3.0,http://www.restaurantkoed.dk/,"('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2200'); ('1700', '2200')",55.672682,12.558267,1500-1799,København V,['Elite'],37436704,1
1196,Scandic Copenhagen,"Vester Søgade 6, København V","(12.55961, 55.6749498)",4.0,2866,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJFTasnAtTUkYRw8_1UeZ-Nls,OPERATIONAL,"Vester Søgade 6, 1601 København, Denmark",33 14 35 35,,https://www.scandichotels.dk/hoteller/danmark/kobenhavn/scandic-copenhagen?utm_campaign=gmb&utm_source=google&utm_medium=organic&utm_content=copenhagen,,55.6749498,12.55961,1500-1799,København V,['Elite'],12596774,1
1197,Restaurant Teaterkælderen,"Gammel Kongevej 29, København V","(12.5552279, 55.67316899999999)",4.4,102,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJpf4TJwtTUkYReDgkL4__ipk,OPERATIONAL,"Gl. Kongevej 29, 1610 København, Denmark",33 25 75 00,3.0,http://www.teaterkaelderen.dk/,,55.67316899999999,12.5552279,1500-1799,København V,,0,1
1198,Miga Restaurant,"Gammel Kongevej 33B, København","(12.5533284, 55.6736492)",4.1,226,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJpf4TJwtTUkYRWm2CV2jj5O0,OPERATIONAL,"Gl. Kongevej 33B, 1610 København, Denmark",33 23 36 67,2.0,http://www.miga08.dk/,,55.6736492,12.5533284,1500-1799,København V,['Elite'],30840046,1
1199,Chez Bruno,"Gammel Kongevej 27, København V","(12.5553823, 55.67347069999999)",4.3,193,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJUV6YIAtTUkYRsfrU8kanzEI,OPERATIONAL,"Gl. Kongevej 27, 1610 København, Denmark",33 23 46 77,2.0,http://chez-bruno.com/,,55.67347069999999,12.5553823,1500-1799,København V,['Elite'],35040471,1
1200,Kerne Pavillonen,"Gammel kongevej 10 Indgang fra, søsiden","(12.5581635, 55.6745315)",4.5,16,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJR5nhmvlTUkYRFNwlacEKssM,OPERATIONAL,"Gammel kongevej 10 Indgang fra, 1610 søsiden, Denmark",28 87 74 33,,,,55.6745315,12.5581635,1500-1799,København V,,0,1
1201,Mangia,"Bagerstræde 9, København","(12.5543989, 55.6733266)",4.2,262,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJR0vi2gpTUkYRaJ6EB1t2K20,OPERATIONAL,"Bagerstræde 9, 1617 København, Denmark",31 39 45 00,2.0,http://mangia.dk/,,55.6733266,12.5543989,1500-1799,København V,['Elite'],37870765,1
1202,Lake Pavilion,"Gyldenløvesgade 24, København","(12.5591524, 55.6818524)",4.0,674,"['night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJLyGh8ghTUkYRbb07u8Ay62c,OPERATIONAL,"Gyldenløvesgade 24, 1369 København, Denmark",33 15 12 24,,http://www.soepavillonen.dk/,,55.6818524,12.5591524,1000-1499,København K,,0,1
1203,Govinda Vegetar Take Away,"Åboulevard 7, København","(12.5563415, 55.6827467)",4.7,173,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJoQzoGghTUkYRLCMKclXIXLM,OPERATIONAL,"Åboulevard 7, 1635 København, Denmark",61 41 91 91,1.0,http://www.govinda.dk/,"('1700', '2130'); ('1700', '2130'); ('1700', '2130'); ('1700', '2130'); ('1700', '2130'); ('1700', '2130'); ('1700', '2130')",55.6827467,12.5563415,1500-1799,København V,['Elite'],34357870,1
1204,Behov To Go,"Åboulevard 7, København","(12.556328, 55.682677)",4.4,142,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ8-YBGwhTUkYR7X0tVNy3FRU,OPERATIONAL,"Åboulevard 7, 1635 København, Denmark",70 70 71 52,,https://togo.behovpizza.dk/,,55.682677,12.556328,1500-1799,København V,"[1, 2, 1, 2]",39169568,1
