,Unnamed: 0,Unnamed: 0.1,name,address,location,rating,total_ratings,types,ref,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,smileys,cvr_number,checked_findsmiley,city_name
2002,2002,ChIJl9eU5wVTUkYRTirE_9Riq2U,Hansen Tina,"Nansensgade 47, København K","(55.6839699, 12.5654005)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJl9eU5wVTUkYRTirE_9Riq2U,OPERATIONAL,"Nansensgade 47, 1366 København, Denmark",20 70 17 21,,,,,,1,København K
2003,2003,ChIJt1ZV7wVTUkYRVVE1VIYRDsY,Kabys,"Nansensgade 64, København","(55.68365410000001, 12.5654767)",4.8,53.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJt1ZV7wVTUkYRVVE1VIYRDsY,OPERATIONAL,"Nansensgade 64, 1366 København, Denmark",31 70 22 01,,http://www.kabyskbh.dk/,"('0930', '1700'); ('0830', '1500'); ('0830', '1500'); ('0830', '0000'); ('0830', '0000'); ('0830', '0000'); ('0930', '0000')",,,1,København
2004,2004,ChIJ9TjTLN9TUkYRlbumfaVv5NQ,Mahalle Nansensgade,"Nansensgade 66, København K","(55.6837489, 12.565611)",4.2,288.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ9TjTLN9TUkYRlbumfaVv5NQ,OPERATIONAL,"Nansensgade 66, 1366 København, Denmark",30 80 95 59,,http://www.mahalle.dk/,"('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200'); ('1000', '2200')","[1, 1]",40550836,1,København K
2005,2005,ChIJJfjq4QZTUkYRFRBNbh2KjVQ,NO.4 salonen,"Peblinge Dossering 4, København N","(55.68692309999999, 12.5618964)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJJfjq4QZTUkYRFRBNbh2KjVQ,OPERATIONAL,"Peblinge Dossering 4, 2200 København, Denmark",,,,"('0800', '2330'); ('0800', '2330'); ('0800', '2330'); ('0800', '2330'); ('0800', '2330'); ('0800', '2330'); ('0800', '2330')",,,1,København N
2006,2006,ChIJdz1ANwFTUkYRCjxMISEjlSk,Cafe 22,"Sortedam Dossering 21, København","(55.68907400000001, 12.5646049)",3.8,863.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJdz1ANwFTUkYRCjxMISEjlSk,OPERATIONAL,"Sortedam Dossering 21, 2200 København, Denmark",35 37 38 27,2.0,http://www.cafe22.dk/,"('0930', '1800'); ('1030', '2200'); ('1030', '2200'); ('1030', '2200'); ('1030', '2300'); ('1000', '0030'); ('0930', '0030')",,,1,København
2007,2007,ChIJS2DHJwFTUkYRSesDufXZyFU,20a,"Ravnsborggade 20a, København N","(55.6892772, 12.5630809)",4.4,237.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'store', 'establishment']",ChIJS2DHJwFTUkYRSesDufXZyFU,OPERATIONAL,"Ravnsborggade 20a, 2200 København, Denmark",25 97 46 01,2.0,http://20a.dk/,,,,1,København N
2008,2008,ChIJsf3-zwFTUkYR5vXg6Xj__EQ,Ristorante Nino e Franco,"Blegdamsvej 36, København","(55.6930713, 12.565636)",4.2,239.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJsf3-zwFTUkYR5vXg6Xj__EQ,OPERATIONAL,"Blegdamsvej 36, 2200 København, Denmark",35 39 01 57,2.0,https://ninoefranco.dk/,,"[1, 2, 2, 1]",20600500,1,København
2009,2009,ChIJ0x1B9QFTUkYRp8M-ehsSIPI,Sapore d'Italia,"Blegdamsvej 42, København N","(55.69342109999999, 12.5663256)",4.3,301.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ0x1B9QFTUkYRp8M-ehsSIPI,OPERATIONAL,"Blegdamsvej 42, 2200 København, Denmark",35 39 73 70,2.0,https://saporeditalia.dk/,,,,1,København N
2010,2010,ChIJ2UqM5wFTUkYR-6k9WpGZhGw,Kokken i kælderen,"Fredensgade 19, København N","(55.69314199999999, 12.566804)",4.7,16.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ2UqM5wFTUkYR-6k9WpGZhGw,OPERATIONAL,"Fredensgade 19, 2200 København, Denmark",81 59 90 94,,,,,,1,København N
2011,2011,ChIJBVGBtQFTUkYR7R1FSqjW1kg,Barnetsfest.dk - Underholdning for børn,"Blegdamsvej 24, København","(55.692523, 12.564754)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJBVGBtQFTUkYR7R1FSqjW1kg,OPERATIONAL,"Blegdamsvej 24, 2200 København, Denmark",20 71 17 11,,http://www.barnetsfest.dk/,"('1200', '2100'); ('1700', '2200'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",,,1,København
2012,2012,ChIJSfHF2wFTUkYRIwAQGfLivsE,Københavnervognen,"Blegdamsvej/, Tagensvej, København N","(55.69375399999999, 12.566439)",,,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJSfHF2wFTUkYRIwAQGfLivsE,,,,,,,,,1,København N
2013,2013,ChIJDZxZCnpTUkYR-vIqlgN1HyY,Tigermom,"Ryesgade 25, København N","(55.6920247, 12.5666956)",4.2,113.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJDZxZCnpTUkYR-vIqlgN1HyY,OPERATIONAL,"Ryesgade 25, 2200 København, Denmark",53 84 25 25,,http://www.tigermom.dk/,,"[1, 1, 1]",39635046,1,København N
2014,2014,ChIJmYSrkgBTUkYRipxw5X2aXH8,Funkecph,"Blegdamsvej 2, København","(55.6909134, 12.561693)",4.0,39.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJmYSrkgBTUkYRipxw5X2aXH8,OPERATIONAL,"Blegdamsvej 2, 2200 København, Denmark",35 35 65 65,,https://funkecph.dk/,,,,1,København
2015,2015,ChIJFTQlQHBTUkYRRT6w0hwDgz0,JED Thai,"Ryesgade 7, København N","(55.69080469999999, 12.5647233)",4.5,11.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJFTQlQHBTUkYRRT6w0hwDgz0,OPERATIONAL,"Ryesgade 7, 2200 København, Denmark",93 94 66 91,,http://www.jedthai.dk/,,"[1, 2]",39080737,1,København N
2016,2016,ChIJidCM3cJTUkYRhwXhtfFglrw,Ryesgade 7,"Ryesgade 7, København","(55.690805, 12.5647504)",4.5,26.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJidCM3cJTUkYRhwXhtfFglrw,OPERATIONAL,"Ryesgade 7, 2200 København, Denmark",,,,"('0800', '1500'); ('0000', '0000'); ('0800', '1500'); ('0800', '1500'); ('0800', '1500'); ('0800', '1500'); ('0800', '1500')",,,1,København
2017,2017,ChIJSY3b8gBTUkYRvWlWjf5Kx_E,Cultures,"Blegdamsvej 4, København","(55.6908943, 12.561674)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJSY3b8gBTUkYRvWlWjf5Kx_E,OPERATIONAL,"Blegdamsvej 4, 2200 København, Denmark",33 91 80 09,,,,,,1,København
2018,2018,ChIJ_4uxCAFTUkYRA4TNFPWyAC8,Epicerie Fine,"Ryesgade 7, København N","(55.69080169999999, 12.564765)",5.0,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ_4uxCAFTUkYRA4TNFPWyAC8,OPERATIONAL,"Ryesgade 7, 2200 København, Denmark",,,https://www.facebook.com/epifinecph/,,,,1,København N
2019,2019,ChIJfSkp0VhSUkYRtG4ZnL_XLx8,Thaiaway,"Sankt Kjelds Plads 5, København","(55.7103146, 12.565099)",4.0,95.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJfSkp0VhSUkYRtG4ZnL_XLx8,OPERATIONAL,"Sankt Kjelds Pl. 5, 2100 København, Denmark",39 20 48 20,2.0,http://www.thaiaway.dk/,"('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100')",,,1,København
