,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,ref
ChIJmVtDpyBTUkYR4PYwiJpNhos,OPERATIONAL,"Nordre Toldbod 18, 1259 København, Denmark",,,,,ChIJmVtDpyBTUkYR4PYwiJpNhos
ChIJfcdeKjtTUkYREwXeKisg8vU,OPERATIONAL,"Nordre Toldbod Seaside, 1259 København, Denmark",,,,,ChIJfcdeKjtTUkYREwXeKisg8vU
ChIJ_9k3oSBTUkYRE3sTZWhqDlg,OPERATIONAL,"Nordre Toldbod 16, 1259 København, Denmark",33 32 93 32,,https://loegismose.dk/,,ChIJ_9k3oSBTUkYRE3sTZWhqDlg
ChIJjTd4Nd9TUkYRNdwoTUps_fE,OPERATIONAL,"Nordre Toldbod 18-24, 1259 København, Denmark",,,http://toldboden.com/,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",ChIJjTd4Nd9TUkYRNdwoTUps_fE
ChIJAQAw8t1SUkYRDKl6-f6Kers,OPERATIONAL,"Midtermolen 3, 2100 København, Denmark",,,,,ChIJAQAw8t1SUkYRDKl6-f6Kers
ChIJ4YV6uWJTUkYR0VGupRigc4Y,OPERATIONAL,"Langeliniekaj 5, 2100 København, Denmark",45 76 40 30,,https://rivabistro.dk/langelinie/,,ChIJ4YV6uWJTUkYR0VGupRigc4Y
ChIJuRBLsUJTUkYREsk_lfLXQ9c,OPERATIONAL,"Midtermolen 7, 2100 København, Denmark",,,,,ChIJuRBLsUJTUkYREsk_lfLXQ9c
ChIJrzTwKnpTUkYRSy-A4_Tdp-E,OPERATIONAL,"Göteborg Pl. 5, 2150 København, Denmark",30 15 15 95,,http://www.corsapizza.dk/,"('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",ChIJrzTwKnpTUkYRSy-A4_Tdp-E
ChIJOVi6IodTUkYRXhEx456qLBg,OPERATIONAL,"Göteborg Pl. 9, 2150 København, Denmark",23 44 00 65,,http://kinikini.dk/,"('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100')",ChIJOVi6IodTUkYRXhEx456qLBg
ChIJgRv-d-lSUkYR5hz5MrBr1W8,OPERATIONAL,"Göteborg Pl. 9, 2150 København, Denmark",,,,,ChIJgRv-d-lSUkYR5hz5MrBr1W8
ChIJC8r_LOpSUkYR4YyY79-1OjI,OPERATIONAL,"Helsinkigade 29, 2150 Nordhavn, Denmark",39 29 29 20,3.0,http://www.restaurantsilo.dk/,,ChIJC8r_LOpSUkYR4YyY79-1OjI
